Time,Data1,Data2,Battery,Motor Rev A,Motor Rev B,Motor Rev C,ADC S1,ADC S2,ADC S3,ADC S4,I2C
0,-1,1,8142,0,0,0,0,0,0,0,255
20,-1,0,8003,0,0,0,-32,0,0,0,255
40,-2,0,8017,0,0,0,-106,0,0,0,255
60,-3,-1,8017,0,0,0,-178,0,0,0,255
80,-3,-1,8003,0,0,0,-226,0,0,0,255
100,-3,-1,8017,0,0,0,-261,0,0,0,255
120,-3,-1,8017,0,0,0,-268,0,0,0,255
140,-3,-1,8003,0,0,0,-295,0,0,0,255
160,-3,-1,8003,0,0,0,-326,0,0,0,255
180,-3,-1,8003,0,0,0,-353,0,0,0,255
200,-4,-2,8003,0,0,0,-408,0,0,0,255
220,-5,-3,8003,0,0,0,-475,0,0,0,255
240,-5,-3,8003,0,0,0,-538,0,0,0,255
260,-6,-4,8003,0,0,0,-592,0,0,0,255
280,-7,-5,8003,0,0,-1,-634,0,0,0,255
300,-10,-8,8017,0,-1,-1,-667,0,0,0,255
320,-11,-9,8003,0,-1,-2,-672,0,0,0,255
340,-8,-6,8003,0,-1,-2,-562,0,0,0,255
360,-7,-5,8017,0,-2,-3,-342,0,0,0,255
380,-3,-1,8017,0,-3,-4,-108,0,0,0,255
400,-4,-2,7990,0,-3,-4,-5,0,0,0,255
420,0,1,8017,0,-3,-4,139,0,0,0,255
440,1,3,8017,0,-3,-4,203,0,0,0,255
460,2,4,8017,0,-3,-3,313,0,0,0,255
480,5,7,8003,0,-2,-3,410,0,0,0,33
500,7,9,8003,0,-2,-3,543,0,0,0,9
520,8,10,8059,0,-1,-3,703,0,0,0,9
540,12,14,8087,0,-1,-2,892,0,0,0,9
560,17,19,8073,0,1,-1,1096,0,0,0,16
580,23,25,8059,0,3,0,1328,0,0,0,52
600,32,34,8059,0,5,3,1575,0,0,0,51
620,38,40,8017,0,8,6,1424,0,0,0,24
640,32,34,8031,0,13,10,449,0,0,0,82
660,22,24,8059,0,17,14,-566,0,0,0,57
680,19,21,8100,0,22,18,-1502,0,0,0,52
700,10,12,8087,0,25,22,-2532,0,0,0,58
720,3,5,8087,0,29,25,-3331,0,0,0,57
740,-2,0,8087,0,31,27,-3910,0,0,0,58
760,-9,-7,8087,0,32,28,-4254,0,0,0,58
780,-14,-12,8087,0,32,28,-4380,0,0,0,58
800,-20,-18,8073,0,32,27,-4378,0,0,0,59
820,-26,-24,8059,0,30,25,-4466,0,0,0,58
840,-36,-34,8045,0,28,23,-4599,0,0,0,59
860,-49,-47,8031,0,25,19,-4837,0,0,0,59
880,-58,-56,7962,0,21,15,-4510,0,0,0,59
900,-47,-45,7962,0,16,10,-3058,0,0,0,60
920,-41,-39,8059,0,10,3,-2062,0,0,0,58
940,-36,-34,8073,0,4,-2,-626,0,0,0,58
960,-26,-24,8100,0,-1,-8,639,0,0,0,58
980,-21,-19,8142,0,-6,-13,1571,0,0,0,58
1000,-12,-10,8100,0,-9,-17,2690,0,0,0,57
1020,-3,-1,8087,0,-12,-21,3277,0,0,0,58
1040,3,5,8128,0,-13,-22,3776,0,0,0,81
1060,10,12,8100,0,-14,-23,3875,0,0,0,60
